University,Continent,Country,Lat,Long
Aalborg University,Europe,Denmark,57.02,9.99
Aalto University,Europe,Finland,60.19,24.83
Aarhus University,Europe,Denmark,56.17,10.2
Aberystwyth University,Europe,United Kingdom,52.42,-4.07
Adam Mickiewicz University,Europe,Poland,52.41,16.92
AGH University of Science and Technology,Europe,Poland,50.06,19.92
Aix-Marseille University,Europe,France,43.29,5.36
Ajou University,Asia,South Korea,37.29,127.05
Alexandria University,Africa,Egypt,31.19,29.91
Alexandru Ioan Cuza University,Europe,Romania,47.17,27.57
Aligarh Muslim University,Asia,India,27.91,78.08
American University,North America,United States of America,38.94,-77.09
American University of Beirut,Asia,Lebanon,33.9,35.48
American University of Sharjah,Asia,United Arab Emirates,25.31,55.49
Amirkabir University of Technology,Asia,Iran,35.7,51.41
Amrita University,Asia,India,12.9,77.68
Anadolu University,Asia,Turkey,39.79,30.5
Andhra University,Asia,India,17.73,83.32
Aristotle University of Thessaloniki,Europe,Greece,40.63,22.96
Arizona State University,North America,United States of America,33.31,-111.68
"Asia University, Taiwan",Asia,Taiwan,24.05,120.69
Aston University,Europe,United Kingdom,52.49,-1.89
Athens University of Economics and Business,Europe,Greece,37.99,23.73
Auburn University,North America,United States of America,32.6,-85.49
Auckland University of Technology,Australia,New Zealand,-36.85,174.77
Austral University of Chile,South America,Chile,-41.49,-72.9
Australian National University,Australia,Australia,-35.28,149.12
Autonomous University of Barcelona,Europe,Spain,41.5,2.1
Autonomous University of Madrid,Europe,Spain,40.55,-3.69
Babes-Bolyai University,Europe,Romania,46.77,23.59
Bangor University,Europe,United Kingdom,53.23,-4.13
Bar-Ilan University,Asia,Israel,32.07,34.84
Bauman Moscow State Technical University,North America,Russian Federation,55.77,37.68
Bayreuth University,Europe,Germany,49.93,11.59
Beijing Institute of Technology,Asia,China,39.96,116.31
Belarusian State University,Europe,Belarus,53.89,27.55
Ben-Gurion University of the Negev,Asia,Israel,30.86,34.78
Bielefeld University,Europe,Germany,52.04,8.5
Bilkent University,Asia,Turkey,39.87,32.76
"Binghamton University, State University of New York",North America,United States of America,42.1,-75.92
"Birkbeck, University of London",Europe,United Kingdom,51.52,0.131
"Birla Institute of Technology and Science, Pilani",Asia,India,28.36,75.59
Blaise Pascal University,Europe,France,45.76,3.11
Bogazici University,Asia,Turkey,41.08,29.05
Boston College,North America,United States of America,42.34,-71.17
Boston University,North America,United States of America,42.35,-71.1
Bournemouth University,Europe,United Kingdom,50.74,-1.9
Brandeis University,North America,United States of America,42.36,-71.25
Brno University of Technology,Europe,Czech Republic,49.23,16.6
Brown University,North America,United States of America,41.83,-71.4
Brunel University London,Europe,United Kingdom,51.53,-0.47
Budapest University of Technology and Economics,Europe,Hungary,47.48,19.06
Ca Foscari University of Venice,Europe,Italy,45.45,12.32
Cairo University,Africa,Egypt,30.03,31.2
California Institute of Technology,North America,United States of America,34.14,-118.13
"California State University, Long Beach",North America,United States of America,33.78,118.11
Capital Medical University,Asia,China,39.87,116.35
Cardiff University,Europe,United Kingdom,51.49,-3.18
Carleton University,North America,Canada,45.39,-75.7
Carlos III University of Madrid,Europe,Spain,40.32,-3.73
Carnegie Mellon University,North America,United States of America,40.44,-79.94
Case Western Reserve University,North America,United States of America,41.5,-81.61
Catholic University of the Sacred Heart,Europe,Italy,45.46,9.18
Central Queensland University,Australia,Australia,-23.32,150.52
Chalmers University of Technology,Europe,Sweden,57.69,11.98
Chang Gung University,Asia,Taiwan,25.03,121.39
Charite Universitatsmedizin Berlin,Europe,Germany,52.53,13.38
Charles Darwin University,Australia,Australia,-12.37,130.87
Charles University in Prague,Europe,Czech Republic,50.07,14.48
Chiang Mai University,Asia,Thailand,19.33,97.97
Chiba University,Asia,Japan,35.63,140.1
China Agricultural University,Asia,China,23.16,113.35
"China Medical University, Taiwan",Asia,Taiwan,24.16,120.68
China University of Geosciences (Wuhan),Asia,China,30.52,114.4
China University of Petroleum (Beijing),Asia,China,40.22,116.25
Chinese University of Hong Kong,Asia,Hong Kong,22.41,114.21
Chonbuk National University,Asia,South Korea,35.84,127.13
Chongqing University,Asia,China,29.56,106.47
Chonnam National University,Asia,South Korea,35.18,126.91
Chulalongkorn University,Asia,Thailand,13.74,100.53
Chung Yuan Christian University,Asia,Taiwan,24.96,121.24
Chung-Ang University,Asia,South Korea,37.5,126.96
Chungnam National University,Asia,South Korea,36.37,127.35
City University London,Europe,United Kingdom,51.53,-0.1
City University of Hong Kong,Asia,Hong Kong,22.34,114.17
Claude Bernard University Lyon 1,Europe,France,45.78,4.86
Clemson University,North America,United States of America,34.68,-82.83
Colorado School of Mines,North America,United States of America,39.75,-105.23
Colorado State University,North America,United States of America,39.74,-104.99
Columbia University,North America,United States of America,40.81,-73.96
Comenius University in Bratislava,Europe,Slovakia,48.14,17.11
Complutense University of Madrid,Europe,Spain,40.44,-3.72
Concordia University,North America,Canada,45.46,-73.64
Copenhagen Business School,Europe,Denmark,55.68,12.53
Cornell University,North America,United States of America,42.45,-76.48
Coventry University,Europe,United Kingdom,52.41,-1.5
Creighton University,North America,United States of America,41.27,-95.95
Curtin University,Australia,Australia,-32.01,115.89
Czech Technical University in Prague,Europe,Czech Republic,50.1,14.39
Dalhousie University,North America,Canada,44.64,-63.59
Dalian University of Technology,Asia,China,38.87,121.53
Dartmouth College,North America,United States of America,43.7,-72.29
De Montfort University,Europe,United Kingdom,52.63,-1.14
Deakin University,Australia,Australia,-37.85,145.07
